region,cultivo,piso_asignado,distrito,produccion_total_ton,nivel_confianza,regla_asignacion,categoria_agronomica,justificacion
Junin,maiz_amilaceo,sierra,El Tambo,82942.15,alta,taxonomia_piso_prioridad,granos_andinos,Primer piso compatible en Junin: sierra (prioridad agronómica 1/4).
Junin,maiz_choclo,sierra,El Tambo,540869.09,media,taxonomia_piso_prioridad,granos,Primer piso compatible en Junin: sierra (prioridad agronómica 2/5).
Junin,mandarina,selva_alta,Perene,341567.04,media,taxonomia_piso_prioridad,citricos,Primer piso compatible en Junin: selva_alta (prioridad agronómica 3/7).
Junin,mango,selva_alta,Perene,12489.2,media,taxonomia_piso_prioridad,frutales_tropicales,Primer piso compatible en Junin: selva_alta (prioridad agronómica 4/6).
Junin,manzana,sierra,El Tambo,670.1,media,taxonomia_piso_prioridad,frutales_templados,Primer piso compatible en Junin: sierra (prioridad agronómica 2/2).
Junin,melocoton,sierra,El Tambo,1693.6,media,taxonomia_piso_prioridad,frutales_templados,Primer piso compatible en Junin: sierra (prioridad agronómica 2/2).
Junin,naranja,selva_alta,Perene,1734258.28,media,taxonomia_piso_prioridad,citricos,Primer piso compatible en Junin: selva_alta (prioridad agronómica 3/9).
Junin,oca,sierra,El Tambo,23626.12,media,taxonomia_piso_prioridad,andinos,Primer piso compatible en Junin: sierra (prioridad agronómica 3/3).
Junin,olluco,sierra,El Tambo,101233.87,media,taxonomia_piso_prioridad,andinos,Primer piso compatible en Junin: sierra (prioridad agronómica 3/3).
Junin,oregano,sierra,El Tambo,471.5,alta,taxonomia_piso_prioridad,aromaticas,Primer piso compatible en Junin: sierra (prioridad agronómica 1/2).
Junin,palta,selva_alta,Perene,354306.57,media,taxonomia_piso_prioridad,frutales,Primer piso compatible en Junin: selva_alta (prioridad agronómica 3/6).
Junin,papa,sierra,El Tambo,2440844.36,alta,taxonomia_piso_prioridad,andinos,Primer piso compatible en Junin: sierra (prioridad agronómica 1/4).
Junin,papaya,selva_alta,Perene,73121.76,media,taxonomia_piso_prioridad,frutales_tropicales,Primer piso compatible en Junin: selva_alta (prioridad agronómica 4/7).
Junin,pina,selva_alta,Perene,2527247.64,alta,taxonomia_piso_prioridad,frutales_tropicales,Primer piso compatible en Junin: selva_alta (prioridad agronómica 1/4).
Junin,platano,selva_alta,Perene,1244001.27,media,taxonomia_piso_prioridad,frutales_tropicales,Primer piso compatible en Junin: selva_alta (prioridad agronómica 4/8).
Junin,quinua,sierra,El Tambo,31264.72,media,taxonomia_piso_prioridad,andinos,Primer piso compatible en Junin: sierra (prioridad agronómica 3/3).
Junin,tangelo,selva_alta,Perene,232818.97,alta,override_regional,citricos,Cítricos en ceja de selva (Perené).
Junin,tomate,sierra,El Tambo,555.4,media,taxonomia_piso_prioridad,hortalizas,Primer piso compatible en Junin: sierra (prioridad agronómica 3/6).
Junin,trigo,sierra,El Tambo,35518.63,alta,taxonomia_piso_prioridad,granos_andinos,Primer piso compatible en Junin: sierra (prioridad agronómica 1/3).
Junin,tuna,sierra,El Tambo,908.9,media,taxonomia_piso_prioridad,frutales,Primer piso compatible en Junin: sierra (prioridad agronómica 2/4).
Junin,yuca,selva_baja,Rio Tambo,696951.53,alta,override_regional,raices,Yuca y cacao comparten selva baja amazónica.
Junin,zanahoria,sierra,El Tambo,174204.93,media,taxonomia_piso_prioridad,hortalizas,Primer piso compatible en Junin: sierra (prioridad agronómica 2/5).
Junin,zapallo,sierra,El Tambo,18056.3,media,taxonomia_piso_prioridad,hortalizas,Primer piso compatible en Junin: sierra (prioridad agronómica 2/6).
La Libertad,aceituna,costa,Viru,3760.28,alta,taxonomia_piso_prioridad,frutales,Primer piso compatible en La Libertad: costa (prioridad agronómica 1/2).
