region,piso_ecologico,distrito,cultivo,anio,numero_mes,mes,produccion_ton,temp_promedio,temp_maxima,temp_minima,precipitacion,humedad_relativa,radiacion_solar,velocidad_viento,presion_atmosferica,humedad_suelo,temp_superficie,punto_rocio,humedad_especifica
Ica,costa,Chincha Alta,arandano,2020,5,Mayo,0.0,20.0,25.6,15.49,0.03,69.33,15.79,2.54,95.9,0.32,20.76,13.8,10.45
Ica,costa,Chincha Alta,arveja_grano_seco,2020,5,Mayo,0.0,20.0,25.6,15.49,0.03,69.33,15.79,2.54,95.9,0.32,20.76,13.8,10.45
Ica,costa,Chincha Alta,arveja_verde,2020,5,Mayo,91.65,20.0,25.6,15.49,0.03,69.33,15.79,2.54,95.9,0.32,20.76,13.8,10.45
Ica,costa,Chincha Alta,camote,2020,5,Mayo,2553.1,20.0,25.6,15.49,0.03,69.33,15.79,2.54,95.9,0.32,20.76,13.8,10.45
Ica,costa,Chincha Alta,cebolla,2020,5,Mayo,10226.9,20.0,25.6,15.49,0.03,69.33,15.79,2.54,95.9,0.32,20.76,13.8,10.45
Ica,costa,Chincha Alta,esparrago,2020,5,Mayo,14070.719,20.0,25.6,15.49,0.03,69.33,15.79,2.54,95.9,0.32,20.76,13.8,10.45
Ica,costa,Chincha Alta,frijol_grano_seco,2020,5,Mayo,0.0,20.0,25.6,15.49,0.03,69.33,15.79,2.54,95.9,0.32,20.76,13.8,10.45
Ica,costa,Chincha Alta,haba_grano_seco,2020,5,Mayo,0.0,20.0,25.6,15.49,0.03,69.33,15.79,2.54,95.9,0.32,20.76,13.8,10.45
Ica,costa,Chincha Alta,limon_sutil,2020,5,Mayo,70.05,20.0,25.6,15.49,0.03,69.33,15.79,2.54,95.9,0.32,20.76,13.8,10.45
Ica,costa,Chincha Alta,maiz_amarillo_duro,2020,5,Mayo,34653.0,20.0,25.6,15.49,0.03,69.33,15.79,2.54,95.9,0.32,20.76,13.8,10.45
Ica,costa,Chincha Alta,maiz_chala,2020,5,Mayo,0.0,20.0,25.6,15.49,0.03,69.33,15.79,2.54,95.9,0.32,20.76,13.8,10.45
Ica,costa,Chincha Alta,maiz_choclo,2020,5,Mayo,0.0,20.0,25.6,15.49,0.03,69.33,15.79,2.54,95.9,0.32,20.76,13.8,10.45
Ica,costa,Chincha Alta,mandarina,2020,5,Mayo,36201.25,20.0,25.6,15.49,0.03,69.33,15.79,2.54,95.9,0.32,20.76,13.8,10.45
Ica,costa,Chincha Alta,mango,2020,5,Mayo,0.0,20.0,25.6,15.49,0.03,69.33,15.79,2.54,95.9,0.32,20.76,13.8,10.45
Ica,costa,Chincha Alta,naranja,2020,5,Mayo,215.1,20.0,25.6,15.49,0.03,69.33,15.79,2.54,95.9,0.32,20.76,13.8,10.45
Ica,costa,Chincha Alta,pallar_grano_seco,2020,5,Mayo,6.3,20.0,25.6,15.49,0.03,69.33,15.79,2.54,95.9,0.32,20.76,13.8,10.45
Ica,costa,Chincha Alta,palta,2020,5,Mayo,27082.359,20.0,25.6,15.49,0.03,69.33,15.79,2.54,95.9,0.32,20.76,13.8,10.45
Ica,costa,Chincha Alta,papa,2020,5,Mayo,156.4,20.0,25.6,15.49,0.03,69.33,15.79,2.54,95.9,0.32,20.76,13.8,10.45
Ica,costa,Chincha Alta,papaya,2020,5,Mayo,31.3,20.0,25.6,15.49,0.03,69.33,15.79,2.54,95.9,0.32,20.76,13.8,10.45
