region,piso_ecologico,distrito,anio,numero_mes,mes,num_cultivos,produccion_piso_ton,temp_promedio,temp_maxima,temp_minima,precipitacion,humedad_relativa,radiacion_solar,velocidad_viento,presion_atmosferica,humedad_suelo,temp_superficie,punto_rocio,humedad_especifica
Junin,selva_baja,Rio Tambo,2020,4,Abril,2,10638.529,23.73,33.11,16.26,0.46,69.88,15.96,0.07,89.36,0.56,23.61,17.07,13.79
Junin,selva_baja,Rio Tambo,2020,5,Mayo,2,13142.77,23.62,32.97,15.63,0.27,64.55,15.08,0.1,89.42,0.55,23.4,15.6,12.59
Junin,selva_baja,Rio Tambo,2020,6,Junio,2,12463.245,24.06,31.89,17.47,1.19,64.92,14.76,0.06,89.34,0.55,24.0,16.32,13.07
Junin,selva_baja,Rio Tambo,2020,7,Julio,2,10447.354,23.37,31.87,16.54,0.71,67.18,15.75,0.1,89.33,0.56,23.23,16.14,12.94
Junin,selva_baja,Rio Tambo,2020,8,Agosto,2,9871.854,24.88,34.7,14.93,0.09,53.78,17.38,0.13,89.28,0.54,24.56,14.03,11.33
Junin,selva_baja,Rio Tambo,2020,9,Septiembre,2,14809.59,25.22,33.72,18.1,0.53,59.1,14.46,0.07,89.24,0.54,25.14,15.82,12.71
Junin,selva_baja,Rio Tambo,2020,10,Octubre,2,15819.595,25.86,35.42,18.82,0.83,58.98,17.62,0.07,89.14,0.54,25.78,16.28,13.14
Junin,selva_baja,Rio Tambo,2020,11,Noviembre,2,15332.785,24.85,34.3,16.43,0.75,66.86,17.64,0.08,89.1,0.55,24.69,17.51,14.17
Junin,selva_baja,Rio Tambo,2020,12,Diciembre,2,27482.73,23.47,31.91,17.74,2.76,75.32,14.18,0.05,89.03,0.56,23.45,18.28,14.86
Junin,selva_baja,Rio Tambo,2021,1,Enero,2,12278.12,21.98,29.35,16.06,5.03,81.98,14.26,0.06,89.08,0.64,21.93,18.43,14.97
Junin,selva_baja,Rio Tambo,2021,2,Febrero,2,9761.905,22.62,31.86,17.32,2.05,79.16,15.04,0.06,89.1,0.61,22.56,18.34,14.92
